movie_id,title,runtime_minutes,rating,genres,release_date,studio,first_seen_utc
1000004679,Practical Magic 2,130,PG-13,"Romance, Fantasy",2026-09-11,Warner Bros.,2026-09-24 22:03:07
1000015739,Verity,118,R,"Drama, Romance, Thriller",2026-10-02,Amazon MGM,2026-09-24 22:03:07
1000018854,Resident Evil,97,R,"Science fiction, Horror, Thriller",2026-09-18,Sony Pictures,2026-09-24 22:03:07
1000024131,Shaun the Sheep: The Beast of Mossy Bottom,80,PG,"Animation, Family, Adventure, Comedy",2026-09-18,GKIDS,2026-09-24 22:03:07
1000026649,The Social Reckoning,112,R,Drama,2026-10-09,Sony Pictures,2026-09-24 22:03:07
1000036867,Avengers Endgame: Encore,185,PG-13,"Action, Adventure, Science fiction",2026-09-25,Walt Disney Pictures,2026-09-24 22:03:07
1000043539,Cabin Fever 4K Director's Cut,98,R,Horror,2026-05-01,Lionsgate,2026-09-24 22:03:07
1000050801,Verity Early Access,114,R,"Thriller, Drama, Romance",2026-09-30,Amazon MGM,2026-09-24 22:03:07
137973,The Cabin in the Woods,95,R,"Horror, Thriller",2012-04-13,Lionsgate,2026-09-24 22:03:07
17491,Event Horizon,96,R,"Fantasy, Horror, Science fiction",1997-08-15,Paramount Pictures,2026-09-24 22:03:07
176961,Tucker & Dale vs. Evil,88,,"Comedy, Horror",2011-09-30,Magnet Releasing,2026-09-24 22:03:07
269068,Avengers: Doomsday,165,,"Adventure, Action",2026-12-18,Walt Disney Pictures,2026-09-24 22:03:07
296439,Wildwood,132,PG-13,"Animation, Adventure, Fantasy, Family",2026-10-23,Fathom Entertainment,2026-09-24 22:03:07
296642,Forgotten Island,109,PG,"Animation, Comedy, Adventure, Family",2026-09-25,Universal Pictures,2026-09-24 22:03:07
327174,Digger,129,R,"Action, Comedy",2026-10-02,Warner Bros.,2026-09-24 22:03:07
47101,The Descent,99,R,Horror,2006-08-04,Lionsgate,2026-09-24 22:03:07
