polled_at_utc,ok,error,showtimes_seen,snapshots_written
2026-09-24 22:03:07,1,,168,168
2026-09-25 00:26:00,1,,168,2
2026-09-25 05:16:46,1,,155,2
2026-09-25 10:14:50,1,,155,1
2026-09-25 15:18:45,1,,155,3
2026-09-25 18:29:54,1,,155,5
2026-09-25 19:18:47,1,,155,2
2026-09-25 19:30:18,1,,155,2
2026-09-25 19:45:15,1,,155,4
2026-09-25 20:00:22,1,,155,2
2026-09-25 20:15:18,1,,155,2
2026-09-25 20:30:17,1,,155,3
2026-09-25 20:45:14,1,,155,1
2026-09-25 21:00:23,1,,155,1
2026-09-25 21:15:15,1,,155,1
2026-09-25 21:30:18,1,,155,2
2026-09-25 21:45:14,1,,155,3
2026-09-25 22:00:27,1,,155,2
2026-09-25 22:15:16,1,,155,0
2026-09-25 22:28:36,1,,155,1
2026-09-25 22:30:17,1,,155,0
2026-09-25 22:45:13,1,,155,3
2026-09-25 23:00:21,1,,155,2
2026-09-25 23:15:15,1,,155,3
2026-09-25 23:30:16,1,,155,1
2026-09-25 23:45:14,1,,155,2
2026-09-26 00:00:24,1,,155,1
2026-09-26 00:15:16,1,,155,2
2026-09-26 00:30:18,1,,155,0
2026-09-26 00:45:13,1,,155,1
2026-09-26 00:49:27,1,,155,0
2026-09-26 01:00:20,1,,155,2
2026-09-26 01:15:17,1,,155,0
2026-09-26 01:30:18,1,,155,3
2026-09-26 01:45:14,1,,155,2
2026-09-26 02:00:19,1,,155,2
2026-09-26 02:15:15,1,,155,2
2026-09-26 02:30:19,1,,155,0
2026-09-26 02:45:18,1,,155,4
2026-09-26 03:00:19,1,,155,2
2026-09-26 03:15:14,1,,155,0
2026-09-26 03:30:18,1,,155,0
2026-09-26 03:45:17,1,,155,0
2026-09-26 04:00:20,1,,137,0
2026-09-26 04:15:16,1,,137,0
2026-09-26 04:30:18,1,,137,0
2026-09-26 04:45:15,1,,137,0
2026-09-26 05:00:18,1,,137,0
2026-09-26 05:15:15,1,,137,1
2026-09-26 05:30:19,1,,137,1
2026-09-26 05:35:13,1,,137,0
2026-09-26 05:45:13,1,,137,0
2026-09-26 06:00:23,1,,137,0
