polled_at_utc,observed_local,temp_f,precip_in,cloud_pct,weather_code
2026-09-24 22:03:07,2026-09-24 18:00,65.7,0.0,100,3
2026-09-25 00:26:00,2026-09-24 20:15,59.5,0.0,100,3
2026-09-25 05:16:46,2026-09-25 01:15,55.5,0.0,99,3
2026-09-25 10:14:50,2026-09-25 06:00,53.6,0.0,100,3
2026-09-25 15:18:45,2026-09-25 11:15,66.7,0.0,100,3
2026-09-25 18:29:54,2026-09-25 14:15,71.6,0.0,100,3
2026-09-25 19:18:47,2026-09-25 15:15,72.2,0.0,100,3
2026-09-25 20:00:22,2026-09-25 16:00,72.3,0.0,100,3
2026-09-25 21:00:23,2026-09-25 17:00,70.6,0.0,100,3
2026-09-25 22:00:27,2026-09-25 18:00,67.7,0.0,100,3
2026-09-25 23:00:21,2026-09-25 19:00,65.4,0.0,100,3
2026-09-26 00:00:24,2026-09-25 20:00,65.8,0.0,100,3
